Перед,PR
нами,PRO
была,V
огромная,A
пропасть,S
Грибов,S
там,PRO
можно,V
набрать,V
пропасть,ADV
Тьфу,ADV
ты,PRO
пропасть,ADV
как,ADV
надоел,V
В,PR
таком,PRO
месте,S
легко,ADV
пропасть,V
Ты,PRO
белых,A
лебедей,S
кормила,V
откинув,V
тяжесть,S
черных,A
коc,S
Я,PRO
рядом,ADV
плыл,V
сошлись,V
кормила,S
Закатный,A
луч,S
был,V
странно,ADV
кос,A
Вдруг,ADV
лебедей,S
метнулась,V
пара,S
Не,ADV
знаю,V
чья,PRO
была,V
вина,S
Закат,S
замлел,V
за,PR
дымкой,S
пара,S
алея,S
как,ADV
поток,S
вина,S
Мгновенья,S
двигались,V
и,CONJ
стали,V
Лишь,ADV
ты,PRO
паришь,V
свой,PRO
свет,S
струя,V
Меж,ADV
тем,ADV
в,PR
реке,S
из,PR
сизой,A
стали,S
влачится,V
за,PR
струей,S
струя,S
Небесное,A
светило,S
было,V
закрыто,V
дождевыми,A
тучами,S
а,CONJ
еще,ADV
вчера,ADV
оно,PRO
так,ADV
ярко,ADV
и,CONJ
ласково,ADV
нам,PRO
светило,V
Если,CONJ
б,ADV
мыло,S
приходило,V
по,PR
утрам,S
ко,PR
мне,PRO
в,PR
кровать,S
и,CONJ
само,PRO
меня,PRO
бы,ADV
мыло,V
хорошо,ADV
бы,ADV
это,PRO
было,V
Мы,PRO
ели,V
ершей,S
у,PR
ели,S
Их,PRO
еле-еле,ADV
у,PR
ели,S
доели,V
Чай,S
пили,V
в,PR
саду,S
Пили,V
скорей,ADV
дрова,S
Белки,S
прыгают,V
по,PR
веткам,S
принесли,V
орешки,S
деткам,S
Взбей,V
яичные,A
белки,S
и,CONJ
печенье,S
испеки,V
В,PR
ведерко,S
руку,S
окуни,V
не,ADV
бойся,V
это,PRO
окуни,S
Из,PR
окна,S
дуло,V
Штирлиц,S
закрыл,V
окно,S
Дуло,S
исчезло,V
Она,PRO
научила,V
меня,PRO
печь,V
блины,S
Натопили,V
печь,S
и,CONJ
напекли,V
картошки,S
Серьезную,A
озабоченность,S
продолжает,V
вызывать,V
транснациональная,A
организованная,A
преступность,S
и,CONJ
связанная,V
с,PR
ней,PRO
контрабанда,S
оружия,S
незаконная,A
миграция,S
и,CONJ
торговля,S
людьми,S
Рост,S
потребления,S
наркотиков,S
представляет,V
реальную,A
угрозу,S
социально-экономическому,A
развитию,S
стран,S
Содружества,S
К,ADV
сожалению,ADV
приобретает,V
международный,A
характер,S
и,CONJ
киберпреступность,S
которая,PRO
посягает,V
на,PR
национальную,A
безопасность,S
государств-участников,S
СНГ,S
